,size,total_sqft,bath,balcony,price,encoded_loc
211,2,1080.0,2,2,39.0,240
212,3,1933.0,3,1,129.0,230
213,5,3500.0,5,2,150.0,197
214,2,1060.0,2,2,60.0,240
215,1,645.0,1,1,16.45,58
216,1,645.0,1,1,16.45,58
217,3,1644.0,3,3,84.0,240
218,2,1285.0,2,3,72.5,240
219,3,1200.0,3,1,90.0,77
220,2,910.0,2,1,40.0,77
221,3,1577.0,3,1,70.0,150
222,3,4050.0,3,2,280.0,240
223,3,2420.0,3,2,185.0,181
224,2,800.0,1,1,20.0,58
225,2,1060.0,2,2,55.0,240
226,2,1270.0,2,2,93.0,7
227,2,900.0,2,2,22.5,240
228,2,1280.0,2,1,69.0,240
229,4,1200.0,2,0,95.0,101
230,2,1025.0,2,2,36.0,203
231,2,1108.0,2,1,63.0,77
232,3,3045.0,3,2,170.0,240
233,4,2900.0,3,2,300.0,14
234,3,1500.0,3,2,75.5,230
235,2,1295.0,2,2,43.9,193
236,2,1162.0,2,1,59.9,55
237,2,1035.0,2,2,49.2,203
238,4,1600.0,4,0,52.8,22
239,3,1464.0,3,2,46.0,240
240,3,1866.0,2,2,61.58,99
241,2,700.0,1,1,26.0,240
242,3,1804.0,3,2,120.0,125
243,2,913.0,2,1,32.0,202
244,3,1868.0,3,2,131.0,217
245,2,883.0,2,1,45.0,140
246,3,1664.0,2,3,73.95,146
247,3,2026.0,3,2,132.0,97
248,2,1210.0,2,1,80.9,28
249,4,4111.0,4,2,250.0,240
250,3,1762.0,3,3,91.45,121
251,3,1252.0,3,3,55.0,117
252,2,861.0,2,1,34.5,84
253,3,1420.0,2,1,100.0,7
254,3,1490.0,3,1,78.8,79
255,3,1075.0,2,1,46.0,49
256,3,1425.0,2,2,94.0,183
257,2,1200.0,2,1,40.0,125
258,3,1280.0,2,2,56.0,122
259,2,1084.0,2,2,50.0,240
260,2,1015.0,2,2,25.88,58
261,2,1017.0,2,1,51.25,131
262,2,1027.0,2,2,44.0,93
263,2,1069.0,2,2,45.0,78
264,2,1349.0,2,1,98.2,95
265,2,1005.0,2,1,50.0,9
266,2,1417.0,2,3,75.0,114
267,3,1475.0,3,1,98.0,216
268,2,950.0,2,2,47.0,240
269,4,2000.0,4,0,120.0,240
270,4,1863.0,3,2,104.0,203
271,2,1010.0,2,1,29.5,210
272,3,1425.0,2,1,70.0,125
273,3,1450.0,3,0,100.0,230
274,3,1847.0,3,2,105.0,150
275,2,1100.0,2,3,45.0,10
276,1,525.0,1,1,26.0,131
277,3,1665.0,3,2,95.0,162
278,4,1664.0,4,3,65.0,41
279,3,1850.0,3,3,150.0,113
280,2,1438.0,2,3,100.0,186
281,3,1560.0,3,3,115.0,240
282,2,1350.0,2,1,55.55,236
283,3,1550.0,3,3,67.0,131
284,2,1140.0,2,2,46.5,163
285,2,850.0,2,2,27.0,240
286,2,1280.0,2,2,75.0,234
287,2,1170.0,2,2,52.0,169
288,2,1113.0,2,1,51.0,240
289,2,1385.0,2,1,83.09,99
290,2,1128.0,2,1,65.0,77
291,2,1200.0,2,2,128.0,165
292,3,1464.0,3,2,56.0,93
293,2,1200.0,2,2,55.0,240
294,2,1200.0,2,2,52.0,137
295,3,1150.0,2,1,55.0,123
296,3,1645.0,3,2,95.0,240
297,2,1000.0,2,1,67.0,203
298,4,2650.0,4,2,198.0,93
299,2,1192.0,2,2,74.0,6
300,3,2135.0,3,2,215.0,224
301,2,1173.0,2,1,58.0,234
302,2,1020.0,2,2,45.0,225
303,3,1600.0,3,3,64.0,211
304,2,1200.0,2,0,79.0,240
305,2,1230.0,2,3,48.0,240
306,2,1250.0,2,2,40.0,69
307,2,1325.0,2,2,76.0,125
308,3,1850.0,3,1,150.0,7
309,1,525.0,2,0,21.53,131
310,2,1200.0,2,2,65.0,39
311,3,1350.0,2,0,140.0,240
312,3,1260.0,3,1,49.36,51
313,3,1800.0,3,0,150.0,240
314,2,1100.0,2,1,43.25,20
315,2,1508.0,2,1,77.0,94
316,3,1592.0,3,2,75.0,240
317,2,1388.0,2,3,57.0,12
318,1,630.0,1,1,28.35,78
319,3,1762.0,3,1,125.0,240
320,2,950.0,2,2,50.0,240
321,4,3252.0,5,3,335.0,145
322,2,1116.0,2,1,50.0,159
323,2,1308.0,2,2,89.04,178
324,3,1200.0,3,0,90.0,240
325,1,500.0,1,1,18.5,37
326,2,1075.0,2,1,52.0,98
327,1,530.0,1,0,11.66,58
328,2,1205.0,2,3,66.0,43
329,2,1075.0,2,2,60.0,5
330,2,930.0,2,2,39.0,119
331,2,1380.0,2,1,60.0,28
332,4,2483.0,5,2,212.0,95
333,2,1166.0,2,2,55.0,143
334,2,1050.0,2,1,65.0,37
335,2,1200.0,2,2,46.8,42
336,3,1600.0,2,1,108.0,157
337,3,1935.0,3,2,110.0,47
338,1,451.0,1,0,29.9,8
339,3,1800.0,3,2,95.0,77
340,3,1400.0,3,0,77.0,115
341,3,1801.0,3,2,115.0,97
342,2,1451.0,2,0,90.0,160
343,2,1200.0,1,1,36.0,18
344,2,1160.0,2,2,44.0,42
345,2,1000.0,2,1,25.0,139
346,2,950.0,2,1,40.0,131
347,3,1629.0,3,2,79.0,240
348,3,1580.0,2,0,134.0,230
349,3,1826.0,3,2,121.0,230
350,2,1245.0,2,1,94.0,7
351,2,1145.0,2,2,45.79,193
352,2,825.0,2,1,33.0,212
353,3,1693.0,3,3,108.0,239
354,2,1113.27,2,2,53.0,79
355,2,1460.0,2,1,58.0,240
356,2,1050.0,2,1,32.0,73
357,2,1260.0,2,2,55.0,70
358,2,1656.0,2,1,120.0,107
359,3,1208.0,3,1,45.0,58
360,3,1910.0,3,2,161.0,234
361,4,3252.0,4,1,230.0,234
362,2,1200.0,2,1,65.0,40
363,2,1175.0,2,1,82.0,7
364,4,1200.0,2,0,125.0,37
365,2,550.0,1,1,62.0,215
366,2,1185.0,2,0,38.0,240
367,2,750.0,2,1,38.0,139
368,3,1550.0,3,3,64.5,131
369,3,1760.0,3,2,88.0,240
370,2,1125.0,2,2,62.0,47
371,3,1350.0,3,2,150.0,174
372,2,1000.0,2,1,55.0,16
373,2,1090.0,2,2,31.48,52
374,2,1200.0,2,0,60.0,216
375,3,1991.0,4,2,103.0,55
376,2,1060.0,2,1,26.5,51
377,2,1105.0,2,1,75.0,13
378,2,985.0,2,2,67.0,100
379,6,1533.0,5,3,85.0,58
380,3,1590.0,3,2,79.0,28
381,2,1120.0,2,2,55.0,56
382,2,1069.0,2,1,55.0,240
383,3,1933.0,3,2,140.0,165
384,2,1194.0,2,0,69.0,107
385,2,1150.0,2,3,69.0,54
386,2,1240.0,2,2,47.12,238
387,2,1419.0,2,2,48.1,193
388,3,2150.0,4,0,240.0,240
389,3,1450.0,3,2,55.0,240
390,3,1630.0,3,2,68.29,240
391,2,708.0,1,1,40.0,66
392,3,1000.0,4,3,110.0,134
393,4,11890.0,4,3,700.0,234
394,2,1250.0,2,1,76.0,43
395,3,1400.0,2,1,95.0,7
396,3,1670.0,2,3,57.0,203
397,3,1750.0,3,2,100.0,20
398,2,1404.0,2,1,71.0,233
399,3,1715.0,2,2,95.0,100
400,1,630.0,1,1,34.65,77
401,3,1752.12,3,2,135.0,94
402,3,1650.0,3,2,78.0,108
403,2,1295.0,2,1,55.47,193
404,2,1346.0,2,1,74.03,203
405,2,1150.0,2,2,55.0,103
406,4,3309.0,4,3,325.0,240
407,3,1190.0,2,2,30.35,58
408,3,1620.0,3,2,98.0,10
409,2,950.0,2,1,46.96,165
410,3,2450.0,3,0,120.0,94
411,3,1220.0,2,1,35.23,78
412,2,850.0,2,1,30.0,240
413,2,1020.0,2,2,63.0,184
414,2,1100.0,2,2,50.0,62
415,2,1150.0,2,2,126.0,240
416,3,1760.0,2,2,130.0,95
417,3,1800.0,3,3,110.0,13
418,2,1070.0,2,1,54.0,12
419,2,1440.0,2,0,95.0,229
420,2,900.0,2,1,40.0,15
421,2,1130.0,2,1,42.16,234
422,2,1270.0,2,1,98.0,144
423,2,1200.0,2,1,62.0,240
424,4,4800.0,4,0,235.0,240
425,2,1200.0,2,1,74.0,240
426,2,929.0,2,0,50.17,214
427,3,1464.0,3,2,56.0,240
428,4,3600.0,4,3,400.0,7
429,4,2000.0,4,2,99.0,240
430,2,1208.0,2,1,49.0,62
431,2,1130.0,2,2,60.0,96
432,3,1753.0,3,2,120.0,240
433,3,600.0,3,2,58.0,35
434,2,1196.0,2,2,94.42,100
435,2,1150.0,3,3,52.5,5
436,2,1128.0,2,1,63.0,77
437,2,1000.0,2,1,53.0,240
438,2,1035.0,2,1,45.0,236
439,2,950.0,2,1,32.0,141
440,3,1075.0,2,1,36.0,49
441,2,1040.0,2,1,48.5,234
442,2,720.0,2,1,45.0,240
443,3,1511.0,3,1,95.0,158
444,3,1300.0,3,1,58.0,240
445,3,1545.0,3,1,68.75,100
446,1,375.0,2,0,26.0,208
447,2,1062.0,2,3,38.0,229
448,2,1115.0,2,1,40.0,240
449,2,1000.0,2,1,35.0,113
450,2,883.0,2,1,45.0,127
451,2,1195.0,2,1,70.0,203
452,1,700.0,1,0,41.0,240
453,2,1246.0,2,1,67.0,233
454,4,8500.0,4,2,145.0,31
455,4,1600.0,4,1,80.0,240
456,4,2805.0,5,3,154.0,93
457,3,1584.0,3,0,65.0,42
458,4,3000.0,5,1,275.0,206
459,3,1175.0,2,2,48.0,107
460,3,1595.0,3,2,115.0,240
461,2,1353.0,2,2,110.0,240
462,3,1599.0,3,2,125.0,77
463,2,1150.0,2,1,70.0,234
464,2,1155.0,2,2,42.74,119
465,1,1200.0,2,0,85.0,240
466,2,1000.0,2,1,25.0,78
467,4,3000.0,4,0,120.0,218
468,3,1867.0,3,1,160.0,195
469,2,1251.0,2,1,47.0,196
470,2,1028.0,2,1,45.5,240
471,2,1222.0,2,2,45.0,21
472,3,1170.0,2,1,66.0,37
473,3,2400.0,4,1,245.0,95
474,3,1385.0,2,2,48.48,240
475,2,1372.0,2,1,68.0,92
476,3,1282.0,2,2,49.0,159
477,2,1135.0,2,1,39.73,131
478,3,1768.0,3,2,101.0,234
479,3,1325.0,2,1,90.0,240
480,3,1599.0,3,2,99.0,77
481,3,1500.0,3,1,61.95,234
482,2,1286.0,2,2,63.0,225
483,5,2845.0,5,1,140.0,128
484,3,1600.0,2,0,50.0,240
485,2,1317.5,2,0,63.77,99
486,2,1102.0,2,2,53.67,169
487,2,1350.0,2,2,54.0,236
488,3,1200.0,2,2,42.0,29
489,6,1300.0,6,0,145.0,104
490,2,1800.0,1,1,80.0,240
491,2,950.0,2,1,40.0,61
492,1,525.0,1,1,27.25,131
493,2,656.0,2,1,25.0,22
494,4,1780.0,4,3,175.0,165
495,2,1056.0,2,1,80.0,240
496,1,595.0,1,1,33.32,37
497,2,1080.0,2,2,50.0,240
498,3,2225.0,3,1,160.0,7
499,2,1126.0,2,1,28.15,51
500,3,1490.0,3,1,84.0,79
501,3,1550.0,3,3,100.0,203
502,3,1600.0,3,2,86.0,234
503,2,1160.0,2,1,55.0,240
504,4,4144.0,4,3,315.0,234
505,3,2100.0,3,2,125.0,203
506,2,1404.0,2,1,69.3,233
507,4,2230.0,4,3,225.0,203
508,3,1544.0,3,0,120.0,240
509,3,1305.0,2,1,58.7,31
510,2,1230.0,2,2,80.0,165
511,2,1200.0,2,0,65.0,240
512,3,1460.0,3,1,73.0,94
513,2,1800.0,2,0,34.185,203
514,2,967.0,2,3,45.0,85
515,1,540.0,1,1,36.0,240
516,1,715.0,1,2,46.0,103
517,3,1578.0,3,1,180.0,240
518,2,1020.0,2,1,48.95,171
519,2,1020.0,2,1,40.0,117
520,2,1253.0,2,1,102.0,148
521,2,1180.0,2,2,42.0,240
522,2,961.0,2,2,38.0,180
523,3,1419.0,3,3,75.0,130
524,3,1709.0,3,2,150.0,94
525,2,1600.0,2,0,115.0,240
526,1,416.0,1,1,18.5,240
527,2,1100.0,2,2,98.0,200
528,3,1430.0,2,1,65.0,92
529,2,1260.0,2,2,45.0,240
530,3,1630.0,3,2,85.0,240
531,3,1249.0,3,2,44.71,203
532,3,1450.0,2,3,85.0,125
533,3,2791.0,3,1,223.0,147
534,1,834.0,1,1,60.0,240
535,3,1125.0,4,1,70.0,240
536,3,2060.0,3,2,140.0,21
537,2,891.0,2,1,25.0,85
538,2,1133.0,2,1,49.07,193
539,3,1075.0,2,1,37.0,49
540,4,3000.0,5,2,260.0,240
541,2,1200.0,2,2,55.0,229
542,2,1075.0,2,2,45.8,218
543,2,1140.0,2,2,40.0,122
544,2,1090.0,2,1,42.0,193
545,4,1500.0,4,1,70.0,191
546,4,4104.0,4,2,360.0,234
547,3,1790.0,3,0,100.0,234
548,3,1920.0,3,2,134.0,95
549,2,1374.0,2,2,95.0,91
550,3,1445.0,3,2,95.0,37
551,1,711.0,1,1,36.0,130
552,3,1500.0,3,3,95.0,223
553,3,1720.0,3,3,100.0,234
554,3,1400.0,3,2,60.0,228
555,2,1030.0,2,2,49.0,154
556,2,1200.0,2,1,85.0,171
557,3,1375.0,3,2,70.0,240
558,2,1050.0,1,0,56.0,97
559,3,2250.0,3,2,160.0,115
560,2,1000.0,2,2,50.0,43
561,1,469.0,1,0,25.0,240
562,4,3800.0,4,3,250.0,165
563,2,883.0,2,1,29.0,127
564,3,1820.0,2,3,86.0,81
565,3,1440.0,2,3,65.0,210
566,6,3600.0,4,1,160.0,240
567,2,1225.0,2,2,48.0,160
568,2,875.0,2,3,52.8,62
569,1,750.0,1,2,40.0,116
570,2,1180.0,2,3,80.0,6
571,2,1194.0,2,2,47.0,93
572,3,1500.0,2,2,62.0,99
573,2,1160.0,2,2,52.2,240
574,3,2378.0,3,1,262.0,105
575,2,1128.0,2,1,60.0,202
576,3,1500.0,3,1,150.0,95
577,3,1220.0,2,1,35.23,240
578,2,1210.0,2,2,58.0,203
579,3,1100.0,2,1,58.0,131
580,3,1200.0,3,2,46.0,51
581,4,3385.0,5,0,260.0,93
582,3,1641.0,3,2,66.0,240
583,2,1200.0,2,1,45.0,101
584,2,1260.0,2,1,67.39,193
585,3,1720.0,3,3,78.0,160
586,2,1132.5,2,0,48.13,236
587,2,1210.0,2,1,45.98,236
588,4,2200.0,4,2,200.0,112
589,3,1075.0,2,1,45.0,49
590,3,1702.0,3,2,130.0,218
591,2,1141.0,2,2,38.55,193
592,3,2072.0,3,2,108.0,240
593,5,5520.0,2,0,375.0,113
594,3,1200.0,2,0,70.0,240
595,3,1350.0,3,0,77.0,240
596,4,4046.0,4,0,445.0,240
597,3,1180.0,2,2,78.34,240
598,3,35000.0,3,3,130.0,236
599,2,1355.0,2,2,115.0,240
600,1,600.0,1,0,50.0,240
601,3,1640.0,2,1,120.0,37
602,5,1200.0,5,0,100.0,240
603,3,1190.0,2,2,57.0,142
604,2,1019.0,2,2,49.85,165
605,3,1875.0,3,2,165.0,240
606,3,1250.0,3,2,40.0,12
607,2,1140.0,2,1,56.0,234
608,3,1683.0,3,1,109.0,158
609,3,1515.0,3,0,83.3,122
610,4,2118.0,4,2,111.0,100
611,4,1380.0,3,0,58.0,37
612,2,1083.0,2,2,61.75,227
613,2,600.0,2,1,55.0,240
614,3,2300.0,3,3,120.0,240
615,2,1240.0,2,2,60.0,240
616,3,1750.0,3,1,120.0,240
617,2,1230.0,2,0,43.48,240
618,3,1500.0,3,1,139.0,19
619,2,985.0,2,1,40.39,11
620,3,1500.0,2,1,87.0,222
621,2,1125.0,2,1,32.49,77
622,2,950.0,2,1,44.0,240
623,5,5600.0,2,0,548.5,113
624,3,1580.0,3,3,76.0,150
625,3,1092.0,2,1,98.5,240
626,2,1090.0,2,1,28.34,78
627,3,2264.0,3,1,159.0,99
628,3,1033.0,2,2,25.53,75
629,2,810.0,2,2,24.5,129
630,2,1045.0,2,0,45.0,240
631,2,1337.0,2,1,82.0,95
632,2,1200.0,2,2,32.0,58
633,3,1580.0,3,2,160.0,148
634,3,1500.0,2,3,54.0,42
635,3,1640.0,4,2,91.0,234
636,3,1570.0,3,2,62.0,240
637,3,1470.0,2,2,82.0,87
638,2,1160.0,2,2,40.61,139
639,2,1050.0,2,1,71.0,7
640,3,1460.0,2,1,90.0,37
641,3,1823.0,3,2,100.0,108
642,2,1094.0,2,2,42.0,77
643,2,1153.0,2,2,57.0,55
644,3,1325.0,3,1,57.0,240
645,4,1200.0,3,2,85.0,187
646,3,1590.0,2,2,125.0,114
647,2,1202.0,2,1,48.0,240
648,2,1202.0,2,1,53.0,93
649,2,1200.0,2,3,62.5,240
650,3,1688.0,3,1,118.0,186
651,2,1020.0,2,1,52.0,137
652,2,1185.0,2,2,47.0,202
653,2,1235.0,2,1,52.04,196
654,2,1077.0,2,2,37.64,29
655,3,1415.0,2,3,66.0,140
656,3,2330.0,3,2,162.0,76
657,2,805.0,2,2,35.0,234
658,1,425.0,1,0,20.03,240
659,2,1155.0,2,3,59.95,234
660,2,656.0,2,1,22.0,18
661,2,1100.0,2,0,48.0,240
662,2,1150.0,2,3,52.0,160
663,1,600.0,1,1,60.0,240
664,2,1468.0,2,1,140.0,240
665,3,2280.0,4,2,126.0,234
666,2,1341.0,2,1,97.0,97
667,2,1279.0,2,1,77.0,114
668,4,2225.0,4,0,98.88,78
669,2,1185.0,2,2,43.51,218
670,3,1750.0,3,2,85.0,240
671,2,1152.0,2,1,53.5,151
672,2,1300.0,2,3,36.0,108
673,4,2760.0,4,2,155.0,227
674,2,1070.0,2,2,39.0,5
675,2,1101.0,2,0,45.0,225
676,2,775.0,2,1,55.0,240
677,1,667.0,1,1,36.85,239
678,2,1070.0,2,1,55.0,77
679,3,1875.0,2,2,110.0,182
680,2,735.0,2,1,57.99,154
681,5,4360.0,4,1,90.0,202
682,3,1750.0,3,2,130.0,148
683,2,1215.0,2,1,67.0,165
684,2,820.0,2,1,30.0,232
685,2,1177.5,2,0,59.935,33
686,3,1779.0,3,2,89.61,40
687,2,1105.0,2,2,58.0,240
688,3,1650.0,3,2,60.0,234
689,2,1694.0,2,2,150.0,115
690,3,2376.0,3,1,203.0,105
691,3,1975.0,3,3,150.0,65
692,2,674.0,2,1,33.0,129
693,2,1185.0,2,1,41.0,122
694,1,445.0,1,0,28.0,218
695,6,900.0,7,0,76.0,240
696,3,1475.0,3,2,75.0,92
697,3,1618.0,3,3,82.5,85
698,2,1120.0,2,0,65.0,148
699,4,2181.0,3,2,152.0,165
700,4,1200.0,4,0,90.0,229
701,6,600.0,4,3,65.0,240
702,3,1556.0,2,1,59.13,37
703,2,1179.0,2,1,66.02,37
704,2,1296.0,2,2,83.0,218
705,2,1275.0,2,2,52.0,122
706,3,1400.0,2,2,77.0,136
707,2,1222.0,2,1,63.0,85
708,2,940.0,2,1,41.0,77
709,2,1185.0,2,2,42.6,218
710,3,1779.0,3,2,112.0,223
711,3,1615.0,3,2,59.76,42
712,4,4624.5,2,0,453.0,113
713,2,1056.0,2,1,61.0,93
714,2,1100.0,2,0,46.0,7
715,2,920.0,2,1,40.0,21
716,3,1602.0,2,0,75.0,240
717,2,1176.0,2,0,62.0,184
718,4,675.0,3,1,59.0,90
719,3,1352.0,3,0,135.0,240
720,3,1717.0,3,3,99.0,134
721,4,10961.0,4,1,80.0,240
722,4,2119.0,4,3,111.0,46
723,2,1246.0,2,1,67.3,233
724,2,1141.0,2,1,42.79,16
725,2,1157.0,2,1,84.0,99
726,2,1025.0,2,2,27.68,58
727,1,650.0,1,2,33.0,237
728,2,1349.0,2,1,98.0,95
729,3,1566.0,3,1,83.3,178
730,4,2830.0,3,3,195.0,199
731,3,1320.0,2,1,38.13,77
732,3,1780.0,3,1,84.83,240
733,2,1091.0,2,1,34.9,226
734,4,3670.0,4,3,300.0,192
735,2,918.0,2,1,50.49,7
736,4,1950.0,4,0,130.0,239
737,3,1695.0,3,1,90.0,186
738,3,1705.0,3,2,95.0,236
