,location,size,total_sqft,bath,balcony,price,price_per_sqft,encoded_loc
134,Devarachikkanahalli,3,1250.0,2,3,44.0,3520.0,69
135,others,3,2795.0,4,0,235.0,8407.871198568873,240
136,Hulimavu,2,1125.0,2,2,50.0,4444.444444444444,108
137,Electronic City Phase II,2,1020.0,2,1,30.6,3000.0,78
138,Kalena Agrahara,2,1200.0,2,2,50.0,4166.666666666667,125
139,Thanisandra,3,1735.0,3,3,135.0,7780.979827089337,218
140,Thanisandra,3,2050.0,3,1,145.0,7073.170731707317,218
141,others,3,1350.0,2,3,48.0,3555.5555555555557,240
142,Hosa Road,2,1063.0,2,1,32.0,3010.348071495767,104
143,others,3,1904.0,3,1,150.0,7878.151260504202,240
144,Whitefield,4,4200.0,4,2,420.0,10000.0,234
145,others,3,2000.0,3,1,175.0,8750.0,240
146,Sarjapur,2,1242.5,2,0,43.49,3500.201207243461,202
147,others,3,1425.0,2,2,75.0,5263.1578947368425,240
148,Electronic City,3,1500.0,2,1,64.5,4300.0,77
149,Electronic City,2,1060.0,2,1,60.0,5660.377358490566,77
150,others,3,1470.0,2,2,70.0,4761.9047619047615,240
151,others,6,1300.0,6,0,99.0,7615.384615384615,240
152,Attibele,1,450.0,1,1,11.0,2444.4444444444443,22
153,Electronic City,2,1152.0,2,1,64.5,5598.958333333333,77
154,Electronic City,3,1350.0,2,1,56.0,4148.148148148148,77
155,CV Raman Nagar,3,1550.0,3,3,65.0,4193.548387096775,56
156,others,3,1500.0,3,2,100.0,6666.666666666667,240
157,Nagavara,1,400.0,1,0,14.0,3500.0,176
158,Malleshwaram,1,705.0,1,2,67.0,9503.54609929078,164
159,Electronic City,2,770.0,1,1,36.0,4675.324675324675,77
160,Hulimavu,2,1242.0,2,3,51.0,4106.280193236715,108
161,Hebbal Kempapura,3,1700.0,3,2,155.0,9117.64705882353,96
162,Thanisandra,3,2144.0,3,2,145.0,6763.059701492537,218
163,Vijayanagar,3,1704.0,3,2,110.0,6455.399061032864,230
164,Electronic City,2,1070.0,2,1,52.0,4859.813084112149,77
165,others,2,1340.0,2,2,55.7,4156.7164179104475,240
166,Electronic City,2,1025.0,2,1,46.0,4487.804878048781,77
167,KR Puram,2,1277.5,2,0,56.8,4446.183953033268,119
168,Marathahalli,2,1200.0,2,2,52.0,4333.333333333333,165
169,Kanakpura Road,4,2250.0,4,1,110.0,4888.888888888889,131
170,Pattandur Agrahara,3,1550.0,2,3,80.0,5161.290322580645,188
171,Marathahalli,2,1200.0,2,2,60.0,5000.0,165
172,Yelahanka,2,1327.0,2,2,98.0,7385.079125847777,236
173,Kothanur,2,1186.0,2,2,58.0,4890.387858347386,150
174,others,3,1783.0,3,1,115.0,6449.8037016264725,240
175,HSR Layout,3,1400.0,3,2,56.0,4000.0,92
176,Nagasandra,2,980.0,2,1,48.0,4897.959183673469,175
177,EPIP Zone,2,1285.0,2,2,82.0,6381.322957198444,76
178,others,3,912.0,2,1,70.0,7675.438596491228,240
179,Whitefield,2,1225.0,2,2,47.6,3885.714285714286,234
180,Whitefield,2,1075.0,2,1,53.0,4930.232558139535,234
181,Kadugodi,3,1260.0,2,2,54.0,4285.714285714285,121
182,Yelahanka,3,1282.0,2,2,48.7,3798.751950078003,236
183,Kogilu,3,1909.0,3,2,88.0,4609.743321110529,146
184,Panathur,2,1359.0,2,1,87.0,6401.766004415011,186
185,others,2,1207.0,2,2,43.5,3603.976801988401,240
186,Kammasandra,3,1595.0,3,2,65.0,4075.2351097178685,129
187,others,3,1798.0,3,2,89.0,4949.944382647386,240
188,Electronics City Phase 1,3,1475.0,3,2,78.29,5307.796610169492,79
189,others,3,1580.0,3,3,100.0,6329.113924050633,240
190,Dasarahalli,2,1295.0,2,1,65.0,5019.305019305019,67
191,Magadi Road,6,3600.0,6,0,141.0,3916.6666666666665,159
192,Electronic City,1,589.0,1,1,27.0,4584.040747028863,77
193,others,3,1415.0,3,3,78.0,5512.367491166077,240
194,Sarjapur  Road,3,1787.0,3,2,98.29,5500.279798545048,203
195,Sarjapur  Road,3,1787.0,3,2,125.0,6994.963626189144,203
196,Koramangala,3,1475.0,2,3,90.0,6101.6949152542375,148
197,others,4,2000.0,4,1,75.5,3775.0,240
198,Sarjapur  Road,2,984.0,2,1,44.28,4500.0,203
199,Devanahalli,3,1630.0,2,0,74.82,4590.184049079754,68
200,others,3,2405.0,4,2,260.0,10810.81081081081,240
201,7th Phase JP Nagar,2,1080.0,2,2,72.0,6666.666666666667,7
202,others,2,1500.0,2,1,115.0,7666.666666666667,240
203,Hebbal,3,1900.0,3,2,119.0,6263.1578947368425,95
204,Dommasandra,2,805.0,2,1,22.14,2750.3105590062114,75
205,Budigere,2,1153.0,2,2,56.4,4891.587163920208,55
206,others,2,1148.0,2,2,60.0,5226.480836236934,240
207,others,2,1110.0,2,2,55.0,4954.954954954955,240
208,Electronic City,2,1100.0,2,2,42.0,3818.181818181818,77
209,Kalyan nagar,2,1290.0,2,2,110.0,8527.131782945737,126
210,others,3,1500.0,2,1,65.0,4333.333333333333,240
211,others,2,1080.0,2,2,39.0,3611.1111111111113,240
212,Vijayanagar,3,1933.0,3,1,129.0,6673.564407656492,230
213,Ramamurthy Nagar,5,3500.0,5,2,150.0,4285.714285714285,197
214,others,2,1060.0,2,2,60.0,5660.377358490566,240
215,Chandapura,1,645.0,1,1,16.45,2550.3875968992247,58
216,Chandapura,1,645.0,1,1,16.45,2550.3875968992247,58
217,others,3,1644.0,3,3,84.0,5109.489051094891,240
218,others,2,1285.0,2,3,72.5,5642.023346303502,240
219,Electronic City,3,1200.0,3,1,90.0,7500.0,77
220,Electronic City,2,910.0,2,1,40.0,4395.604395604396,77
221,Kothanur,3,1577.0,3,1,70.0,4438.807863031072,150
222,others,3,4050.0,3,2,280.0,6913.580246913581,240
223,OMBR Layout,3,2420.0,3,2,185.0,7644.628099173554,181
224,Chandapura,2,800.0,1,1,20.0,2500.0,58
225,others,2,1060.0,2,2,55.0,5188.679245283019,240
226,7th Phase JP Nagar,2,1270.0,2,2,93.0,7322.834645669292,7
227,others,2,900.0,2,2,22.5,2500.0,240
228,others,2,1280.0,2,1,69.0,5390.625,240
229,Horamavu Agara,4,1200.0,2,0,95.0,7916.666666666667,101
230,Sarjapur  Road,2,1025.0,2,2,36.0,3512.1951219512193,203
231,Electronic City,2,1108.0,2,1,63.0,5685.9205776173285,77
232,others,3,3045.0,3,2,170.0,5582.922824302134,240
233,Ambedkar Nagar,4,2900.0,3,2,300.0,10344.827586206897,14
234,Vijayanagar,3,1500.0,3,2,75.5,5033.333333333333,230
235,Raja Rajeshwari Nagar,2,1295.0,2,2,43.9,3389.96138996139,193
236,Budigere,2,1162.0,2,1,59.9,5154.9053356282275,55
237,Sarjapur  Road,2,1035.0,2,2,49.2,4753.623188405797,203
238,Attibele,4,1600.0,4,0,52.8,3300.0,22
239,others,3,1464.0,3,2,46.0,3142.0765027322404,240
240,Hennur Road,3,1866.0,2,2,61.58,3300.10718113612,99
241,others,2,700.0,1,1,26.0,3714.285714285714,240
242,Kalena Agrahara,3,1804.0,3,2,120.0,6651.884700665189,125
243,Sarjapur,2,913.0,2,1,32.0,3504.9288061336256,202
244,Talaghattapura,3,1868.0,3,2,131.0,7012.847965738758,217
245,Kengeri Satellite Town,2,883.0,2,1,45.0,5096.262740656852,140
246,Kogilu,3,1664.0,2,3,73.95,4444.110576923077,146
247,Hegde Nagar,3,2026.0,3,2,132.0,6515.301085883514,97
248,Balagere,2,1210.0,2,1,80.9,6685.950413223141,28
249,others,4,4111.0,4,2,250.0,6081.24543906592,240
250,Kadugodi,3,1762.0,3,3,91.45,5190.124858115778,121
251,Jigani,3,1252.0,3,3,55.0,4392.97124600639,117
252,Gollarapalya Hosahalli,2,861.0,2,1,34.5,4006.968641114983,84
253,7th Phase JP Nagar,3,1420.0,2,1,100.0,7042.2535211267605,7
254,Electronics City Phase 1,3,1490.0,3,1,78.8,5288.5906040268455,79
255,Bisuvanahalli,3,1075.0,2,1,46.0,4279.069767441861,49
256,Old Madras Road,3,1425.0,2,2,94.0,6596.491228070176,183
257,Kalena Agrahara,2,1200.0,2,1,40.0,3333.3333333333335,125
258,Kaggadasapura,3,1280.0,2,2,56.0,4375.0,122
259,others,2,1084.0,2,2,50.0,4612.546125461255,240
260,Chandapura,2,1015.0,2,2,25.88,2549.753694581281,58
261,Kanakpura Road,2,1017.0,2,1,51.25,5039.331366764995,131
262,Haralur Road,2,1027.0,2,2,44.0,4284.323271665044,93
263,Electronic City Phase II,2,1069.0,2,2,45.0,4209.541627689429,78
264,Hebbal,2,1349.0,2,1,98.2,7279.466271312083,95
265,9th Phase JP Nagar,2,1005.0,2,1,50.0,4975.124378109453,9
266,Jakkur,2,1417.0,2,3,75.0,5292.87226534933,114
267,TC Palaya,3,1475.0,3,1,98.0,6644.067796610169,216
268,others,2,950.0,2,2,47.0,4947.368421052632,240
269,others,4,2000.0,4,0,120.0,6000.0,240
270,Sarjapur  Road,4,1863.0,3,2,104.0,5582.393988191089,203
271,Singasandra,2,1010.0,2,1,29.5,2920.792079207921,210
272,Kalena Agrahara,3,1425.0,2,1,70.0,4912.2807017543855,125
273,Vijayanagar,3,1450.0,3,0,100.0,6896.551724137931,230
274,Kothanur,3,1847.0,3,2,105.0,5684.89442338928,150
275,AECS Layout,2,1100.0,2,3,45.0,4090.909090909091,10
276,Kanakpura Road,1,525.0,1,1,26.0,4952.380952380952,131
277,Mallasandra,3,1665.0,3,2,95.0,5705.705705705705,162
278,Begur,4,1664.0,4,3,65.0,3906.25,41
279,JP Nagar,3,1850.0,3,3,150.0,8108.108108108108,113
280,Panathur,2,1438.0,2,3,100.0,6954.102920723227,186
281,others,3,1560.0,3,3,115.0,7371.794871794872,240
282,Yelahanka,2,1350.0,2,1,55.55,4114.814814814815,236
283,Kanakpura Road,3,1550.0,3,3,67.0,4322.580645161291,131
284,Malleshpalya,2,1140.0,2,2,46.5,4078.9473684210525,163
285,others,2,850.0,2,2,27.0,3176.470588235294,240
286,Whitefield,2,1280.0,2,2,75.0,5859.375,234
287,Munnekollal,2,1170.0,2,2,52.0,4444.444444444444,169
288,others,2,1113.0,2,1,51.0,4582.210242587601,240
289,Hennur Road,2,1385.0,2,1,83.09,5999.27797833935,99
290,Electronic City,2,1128.0,2,1,65.0,5762.41134751773,77
291,Marathahalli,2,1200.0,2,2,128.0,10666.666666666666,165
292,Haralur Road,3,1464.0,3,2,56.0,3825.136612021858,93
293,others,2,1200.0,2,2,55.0,4583.333333333333,240
294,Kaval Byrasandra,2,1200.0,2,2,52.0,4333.333333333333,137
295,Kaggalipura,3,1150.0,2,1,55.0,4782.608695652174,123
296,others,3,1645.0,3,2,95.0,5775.075987841945,240
297,Sarjapur  Road,2,1000.0,2,1,67.0,6700.0,203
298,Haralur Road,4,2650.0,4,2,198.0,7471.698113207547,93
299,6th Phase JP Nagar,2,1192.0,2,2,74.0,6208.053691275168,6
300,Ulsoor,3,2135.0,3,2,215.0,10070.257611241217,224
301,Whitefield,2,1173.0,2,1,58.0,4944.58653026428,234
302,Uttarahalli,2,1020.0,2,2,45.0,4411.764705882353,225
303,Somasundara Palya,3,1600.0,3,3,64.0,4000.0,211
304,others,2,1200.0,2,0,79.0,6583.333333333333,240
305,others,2,1230.0,2,3,48.0,3902.439024390244,240
306,Devarachikkanahalli,2,1250.0,2,2,40.0,3200.0,69
307,Kalena Agrahara,2,1325.0,2,2,76.0,5735.8490566037735,125
308,7th Phase JP Nagar,3,1850.0,3,1,150.0,8108.108108108108,7
309,Kanakpura Road,1,525.0,2,0,21.53,4100.952380952381,131
310,Basaveshwara Nagar,2,1200.0,2,2,65.0,5416.666666666667,39
311,others,3,1350.0,2,0,140.0,10370.37037037037,240
312,Bommasandra,3,1260.0,3,1,49.36,3917.4603174603176,51
313,others,3,1800.0,3,0,150.0,8333.333333333334,240
314,Ardendale,2,1100.0,2,1,43.25,3931.818181818182,20
315,Harlur,2,1508.0,2,1,77.0,5106.100795755968,94
316,others,3,1592.0,3,2,75.0,4711.05527638191,240
317,Akshaya Nagar,2,1388.0,2,3,57.0,4106.628242074928,12
318,Electronic City Phase II,1,630.0,1,1,28.35,4500.0,78
319,others,3,1762.0,3,1,125.0,7094.211123723042,240
320,others,2,950.0,2,2,50.0,5263.1578947368425,240
321,Kodihalli,4,3252.0,5,3,335.0,10301.353013530135,145
322,Magadi Road,2,1116.0,2,1,50.0,4480.286738351255,159
323,Narayanapura,2,1308.0,2,2,89.04,6807.339449541284,178
324,others,3,1200.0,3,0,90.0,7500.0,240
325,Bannerghatta Road,1,500.0,1,1,18.5,3700.0,37
326,Hennur,2,1075.0,2,1,52.0,4837.209302325581,98
327,Chandapura,1,530.0,1,0,11.66,2200.0,58
328,Bellandur,2,1205.0,2,3,66.0,5477.178423236514,43
329,5th Phase JP Nagar,2,1075.0,2,2,60.0,5581.395348837209,5
330,KR Puram,2,930.0,2,2,39.0,4193.548387096775,119
331,Balagere,2,1380.0,2,1,60.0,4347.826086956522,28
332,Hebbal,4,2483.0,5,2,212.0,8538.058799838904,95
333,Kodigehaali,2,1166.0,2,2,55.0,4716.981132075472,143
334,Bannerghatta Road,2,1050.0,2,1,65.0,6190.476190476191,37
335,Begur Road,2,1200.0,2,2,46.8,3900.0,42
336,Lakshminarayana Pura,3,1600.0,2,1,108.0,6750.0,157
337,Billekahalli,3,1935.0,3,2,110.0,5684.754521963824,47
338,8th Phase JP Nagar,1,451.0,1,0,29.9,6629.711751662971,8
339,Electronic City,3,1800.0,3,2,95.0,5277.777777777777,77
340,Jalahalli,3,1400.0,3,0,77.0,5500.0,115
341,Hegde Nagar,3,1801.0,3,2,115.0,6385.341476957246,97
342,Mahadevpura,2,1451.0,2,0,90.0,6202.618883528601,160
343,Anekal,2,1200.0,1,1,36.0,3000.0,18
344,Begur Road,2,1160.0,2,2,44.0,3793.103448275862,42
345,Kengeri,2,1000.0,2,1,25.0,2500.0,139
346,Kanakpura Road,2,950.0,2,1,40.0,4210.526315789473,131
347,others,3,1629.0,3,2,79.0,4849.600982197668,240
348,Vijayanagar,3,1580.0,2,0,134.0,8481.012658227848,230
349,Vijayanagar,3,1826.0,3,2,121.0,6626.506024096386,230
350,7th Phase JP Nagar,2,1245.0,2,1,94.0,7550.2008032128515,7
351,Raja Rajeshwari Nagar,2,1145.0,2,2,45.79,3999.126637554585,193
352,Sompura,2,825.0,2,1,33.0,4000.0,212
353,Yeshwanthpur,3,1693.0,3,3,108.0,6379.208505611341,239
354,Electronics City Phase 1,2,1113.27,2,2,53.0,4760.74986301616,79
355,others,2,1460.0,2,1,58.0,3972.6027397260273,240
356,Doddathoguru,2,1050.0,2,1,32.0,3047.6190476190477,73
357,Dodda Nekkundi,2,1260.0,2,2,55.0,4365.079365079365,70
358,Hosur Road,2,1656.0,2,1,120.0,7246.376811594203,107
359,Chandapura,3,1208.0,3,1,45.0,3725.1655629139073,58
360,Whitefield,3,1910.0,3,2,161.0,8429.319371727748,234
361,Whitefield,4,3252.0,4,1,230.0,7072.570725707257,234
362,Battarahalli,2,1200.0,2,1,65.0,5416.666666666667,40
363,7th Phase JP Nagar,2,1175.0,2,1,82.0,6978.723404255319,7
364,Bannerghatta Road,4,1200.0,2,0,125.0,10416.666666666666,37
365,Sultan Palaya,2,550.0,1,1,62.0,11272.727272727272,215
366,others,2,1185.0,2,0,38.0,3206.7510548523205,240
367,Kengeri,2,750.0,2,1,38.0,5066.666666666667,139
368,Kanakpura Road,3,1550.0,3,3,64.5,4161.290322580645,131
369,others,3,1760.0,3,2,88.0,5000.0,240
370,Billekahalli,2,1125.0,2,2,62.0,5511.111111111111,47
371,Nagarbhavi,3,1350.0,3,2,150.0,11111.111111111111,174
372,Anandapura,2,1000.0,2,1,55.0,5500.0,16
373,Bommasandra Industrial Area,2,1090.0,2,2,31.48,2888.0733944954127,52
374,TC Palaya,2,1200.0,2,0,60.0,5000.0,216
375,Budigere,3,1991.0,4,2,103.0,5173.279758915118,55
376,Bommasandra,2,1060.0,2,1,26.5,2500.0,51
377,Ambalipura,2,1105.0,2,1,75.0,6787.330316742082,13
378,Hoodi,2,985.0,2,2,67.0,6802.030456852792,100
379,Chandapura,6,1533.0,5,3,85.0,5544.683626875408,58
380,Balagere,3,1590.0,3,2,79.0,4968.553459119496,28
381,CV Raman Nagar,2,1120.0,2,2,55.0,4910.714285714285,56
382,others,2,1069.0,2,1,55.0,5144.9953227315245,240
383,Marathahalli,3,1933.0,3,2,140.0,7242.628039317124,165
384,Hosur Road,2,1194.0,2,0,69.0,5778.894472361809,107
385,Brookefield,2,1150.0,2,3,69.0,6000.0,54
386,Yelenahalli,2,1240.0,2,2,47.12,3800.0,238
387,Raja Rajeshwari Nagar,2,1419.0,2,2,48.1,3389.7110641296686,193
388,others,3,2150.0,4,0,240.0,11162.790697674418,240
389,others,3,1450.0,3,2,55.0,3793.103448275862,240
390,others,3,1630.0,3,2,68.29,4189.57055214724,240
391,Dasanapura,2,708.0,1,1,40.0,5649.717514124294,66
392,Kasavanhalli,3,1000.0,4,3,110.0,11000.0,134
393,Whitefield,4,11890.0,4,3,700.0,5887.300252312868,234
394,Bellandur,2,1250.0,2,1,76.0,6080.0,43
395,7th Phase JP Nagar,3,1400.0,2,1,95.0,6785.714285714285,7
396,Sarjapur  Road,3,1670.0,2,3,57.0,3413.1736526946106,203
397,Ardendale,3,1750.0,3,2,100.0,5714.285714285715,20
398,Vittasandra,2,1404.0,2,1,71.0,5056.980056980057,233
399,Hoodi,3,1715.0,2,2,95.0,5539.35860058309,100
400,Electronic City,1,630.0,1,1,34.65,5500.0,77
401,Harlur,3,1752.12,3,2,135.0,7704.951715635916,94
402,Hulimavu,3,1650.0,3,2,78.0,4727.272727272727,108
403,Raja Rajeshwari Nagar,2,1295.0,2,1,55.47,4283.397683397683,193
404,Sarjapur  Road,2,1346.0,2,1,74.03,5500.0,203
405,Hormavu,2,1150.0,2,2,55.0,4782.608695652174,103
406,others,4,3309.0,4,3,325.0,9821.698398307646,240
407,Chandapura,3,1190.0,2,2,30.35,2550.4201680672268,58
408,AECS Layout,3,1620.0,3,2,98.0,6049.382716049383,10
409,Marathahalli,2,950.0,2,1,46.96,4943.1578947368425,165
410,Harlur,3,2450.0,3,0,120.0,4897.959183673469,94
411,Electronic City Phase II,3,1220.0,2,1,35.23,2887.7049180327863,78
412,others,2,850.0,2,1,30.0,3529.4117647058824,240
413,Padmanabhanagar,2,1020.0,2,2,63.0,6176.470588235294,184
414,Chikkalasandra,2,1100.0,2,2,50.0,4545.454545454545,62
415,others,2,1150.0,2,2,126.0,10956.521739130434,240
416,Hebbal,3,1760.0,2,2,130.0,7386.363636363636,95
417,Ambalipura,3,1800.0,3,3,110.0,6111.111111111111,13
